MOFname,volume [A^3],weight [u],surface_area [m^2/g],volumetric_sa [m^2/cm^3],void_fraction,void_volume [cm^3/g],topology_num,metal_element,metal_group,functional_group_1,functional_group_2,organic_linker1,organic_linker2,CO2/N2_selectivity,heat_adsorption_CO2_P0.15bar_T298K [kcal/mol]
mof_unit_pretest_1,6288.293858,2271.68714,4148.48,2488.5789191237045,0.41225,0.6872,3,4,6,13,13,7,27,14.04879074,5.604779
mof_unit_pretest_2,1790.506437,887.7473199999998,2191.34,1804.1389208709152,0.3023099999999999,0.3672,0,2,11,8,13,4,26,20.21722169,6.148776
mof_unit_pretest_3,2348.969203,1239.7658800000002,2030.88,1779.8907492793876,0.2853299999999999,0.3256,0,1,12,19,10,18,22,33.10866151,6.164397
mof_unit_pretest_4,2941.571525,1147.9514,3587.13,2324.5448584104643,0.41963,0.6474999999999999,0,2,11,6,10,8,15,12.80056168,5.164957
mof_unit_pretest_5,705.397601,643.27074,0.0,0.0,0.0705999999999999,0.0466,0,1,12,2,20,10,22,23.39561652,7.090687
mof_unit_pretest_6,2795.376504,1592.74518,1480.38,1400.6380630237568,0.20913,0.221,2,9,5,12,9,10,28,49.25180982,7.334542999999998
mof_unit_pretest_7,1493.202771,895.92428,1769.29,1762.7806241007931,0.28863,0.2897,0,1,12,2,20,1,18,18.48760329,5.671204
mof_unit_pretest_8,4288.4052950000005,1848.99596,2734.28,1957.6265690969722,0.3890199999999999,0.5433999999999999,0,1,12,15,14,16,16,13.97259895,5.274335
mof_unit_pretest_9,6880.322139,2356.7782260000004,3985.18,2266.7551593324615,0.4397599999999999,0.7731,3,4,6,15,1,3,27,10.29489266,5.064876
mof_unit_pretest_10,1750.548457,1027.715,1426.86,1390.9984556406384,0.2068199999999998,0.2121,0,2,11,20,10,10,29,72.74346069,7.425464
mof_unit_pretest_11,4158.54216,1987.45176,2213.81,1756.8818587259059,0.2860099999999999,0.3604,3,4,6,7,16,6,17,35.17498629,6.726739
mof_unit_pretest_12,7354.202104000002,3502.94744,1770.07,1400.0231853923765,0.2340199999999998,0.2959,3,4,6,13,10,27,27,32.90207562,6.600984
mof_unit_pretest_13,5067.83424,2694.70244,0.0,0.0,0.2433299999999999,0.2756,6,1,12,11,6,9,9,14.18270662,5.996164
mof_unit_pretest_14,3930.439874,2941.622173,645.62,802.3603055709552,0.1329299999999999,0.107,3,4,6,20,1,4,11,64.13190702,7.544046
mof_unit_pretest_15,2004.557069,1695.0737800000002,0.0,0.0,0.0748,0.0533,3,4,6,8,8,14,22,165.80064319999997,8.819874999999998
mof_unit_pretest_16,1043.078308,587.97836,1774.18,1660.6910079703223,0.2609599999999999,0.2787999999999999,0,1,12,2,2,10,23,13.89850112,5.212527
mof_unit_pretest_17,1148.410429,580.49356,2536.87,2129.341003569528,0.3095899999999999,0.3688,0,2,11,14,5,11,14,11.39964462,4.847198000000001
mof_unit_pretest_18,3756.862488,1165.90236,3712.31,1913.0567082699172,0.4831399999999999,0.9375,0,1,12,7,8,18,26,11.00255867,5.209406
