MOFname,smi
"mof_unit_pretest_1.cif
",[C]1(c2ccc(cc2)c2nnc(c3c(cc(cc3)[C]=O)OC[CH2])nn2)O[Cr]234O[C](c5ccc(cc5)c5nnc(c6ccc(cc6)[C]=O)nn5)O[Cr]5(O[C](c6ccc(c(c6)OC[CH])C6=N[N]C(=N[N]6)c6cc(c(cc6)[C](O[Cr]O[Cr][O])O[Cr][O])O[CH])O[Cr@@](O1)(O[C](c1ccc(C#Cc6ccc(cc6)C(=O)[O])cc1)O5)O[C](c1ccc(cc1)C#Cc1ccc(cc1)[C]=O)O4)(O[C](c1ccc(cc1)C#Cc1ccc(cc1)[C]=O)O3)O2.[O].[O].[CH3].[H].[CH]C.[H].[H].[CH2].[H]
"mof_unit_pretest_10.cif
",[C]1([C])O[Cu]234([Cu]([N])(O[C]([C])O2)(O1)(O[C](c1cc(c(c(c1)O)N1C(=O)C2=C5C(=CC=[C]C5=[C]C(=C2)[O])C1=O)O)O4)O[C](c1cc(c(c(c1)O)N1C(=O)C2=CC(=[C]C4=[C]C=CC(=C24)C1=O)[O])O)O3)[N].[H].[H].[H].[H].[H].[H].[O].[O]
"mof_unit_pretest_100.cif
",[C]1(C(=[CH])F)O[Zn]23(N([C]F)F)O[C](/C(=[C]\OC)/[C]C=[CH])O[Zn](N[C]F)(O1)(O[C](C=[CH])O2)O[C](C(=[CH])[C]/C=[C]/[O])O3.[CH2].[H]
"mof_unit_pretest_1000.cif
",O1[C](O[V]2([O])(O[C](O[V]1([O])(O[C][C]/C(=C\[C]=[C]/C(=O)O)/N(=O)=O)(O2)[O])C#C[C])O[C]C#C[C])/C(=[C]\[C]=O)/C(=C\[C])/N(=O)=O.O1[C](O[V]2([O])(O[C](O[V]1([O])(O[C][C]/C(=C\[C]=[C]/C(=O)O)/N(=O)=O)(O2)[O])C#C[C])O[C]C#C[C])/C(=[C]\[C]=O)/C(=C\[C])/N(=O)=O.[OH].[OH].[C](=O)O.[C](=O)O.[C]=O.[OH].[C]=O.[OH]
"mof_unit_pretest_1001.cif
",O1[C](O[V]2(O[C](O[V]1(O2)(O[C]/[C]=C(/C(=[C]/[N]C(=O)C1=C(C(=C([C]=[C]1)C1=[C][C]=C(C(=O)[N][C]/C=C\[C])C=C1)OC)OC)/OC)\F)(O[C]/[C]=C/C(=[C]/N1C(=O)[C]c2c3[C]=[C]N(C(=O)c3ccc2C1=O)[C]/C(=C\[C])/F)/OC)[O])c1ccc(N2C(=O)c3c4c(C2=O)c(c(c2c5c6c(c(cc7c6c(C(=O)N(C7=O)c6ccc(cc6O[CH])C(=O)[O])c(c5)F)F)c(c42)c(c3O[CH2])OC)F)[O])c(c1)O[CH2])([O])[O])c1ccc(N2C(=O)c3ccc4C(=O)N(C(=O)C5=c4c3=C([C]=C5)C2=O)c2ccc(c(c2F)OC)C(=O)O[V])c(c1OC)OC.[CH]=[CH].[O].[CH]=[CH].[CH]=[CH].[C](=[C]\C=C/[C]=[C]\C=C(/[C]=[C]\[O])\OC)\[O].[C](=[C]\F)\F.[CH]=[CH].[O].[O].[O][V]O[C].O=[C].[O].[H].[H].[CH3].[H].[H].[F]
"mof_unit_pretest_1002.cif
",[C]1(/C=C/[CH][CH]C(=O)[O])O[Cr]234O/C(=C/[CH][CH][CH]C(=O)[O])/O[Cr]5(O[C]([CH][CH][C]([CH]C(=O)O[Cr]O[Cr])C[CH2])O[Cr@@](O1)(O[C]([C@]16CC[C@@](CC1)(C(=O)O[Cr])[C@H]([C@H]6C[CH2])CC)O5)O[C](/C=C/[CH][CH]C(=O)[O])O4)(O[C]([CH][CH]/C=C(/C(=O)[O])\[CH2])O3)O2.[H].[CH3].[H]
"mof_unit_pretest_1003.cif
",[C]1(c2c3c(c(c(c(c3c(c3c2c(c(c(c3[O])[N])O)N)C(=O)O[Cu][O])O)N)O)O)O[Cu]234[Cu](O1)(O[C]([C@@]15[C@@H](C([C@@]([C@@]([C@@]1(O)N)(N)O)(C([C@H]5N)(N)N)C(=O)O[Cu]O[C])(N)N)O)O2)(O[C](c1c2c(c(c(c(c2c(c2c1c(c(c(c2O)[O])N)O)C(=O)[O])[O])O)N)N)O3)O[C](c1c2c(ccc(c2c(c2c1c(c(c(c2)O)O)N)C(=O)[O])O)N)O4.[C]=O.[C]([C]c1c(c(cc(c1[C])O)N)N)[O].[C](/[C]=[C]\C(=[C]\O)\[O])O[Cu].C(=C(\[C][NH])/[NH])(\[C])/[O].[C]([C])[NH].[C]([C])/C(=[C]/[NH])/[N].[C]1=[C]C=C(C(=C1O)N)O.[Cu][O].[O].[O].[H].[H].[H].[H].[H].[H].[H].[H].[H].[H].[H].[H].[H]
"mof_unit_pretest_1004.cif
",[C]1([C](C=[CH])[C]([C])/C(=C\[C])/N)O[Zn]23(N4[CH][C]=[C]C(=C4N)[NH])O[C](C#CC([CH])([CH])[CH])O[Zn](N4[CH]C=[C][C]=C4[C]([C]N)N)(O1)(O[C]([C]([CH][C])C=[CH])O2)O[C](C#CC([C][NH])([CH])[CH])O3.[C]N.[H].[H].[H]
"mof_unit_pretest_1005.cif
",BrC1=C([C]=C(C(=C1[C]1O[Zn]23(N(C)[C]Br)O[C](/C=[C]\C)O[Zn](N([C]Br)C)(O[C](/C=[C]\C)O2)(O[C](C2=C(Br)C(=[C]C(=C2Br)[C]Br)[C]Br)O3)O1)Br)[C]Br)[C]Br
"mof_unit_pretest_1006.cif
",O1[C](O[Cr]234O[C](O[Cr@]5(O[C](O[Cr]1(O[C](O3)C1=[C][C]=C(/[C]=N/N=[C]/[C]=[CH])C=C1)(O[C](O5)c1c(cc(c3nnc(c5cc(c([C]6O[Cr]O[C](O[Cr]O[C](O[Cr]O6)c6c(cc(c(c6)CCC)/[C]=N/[N][C])[NH])/C(=[C]\[N])/C=[C]/[CH]CC)cc5CCC)NC)nn3)cc1)CCC)O4)c1c(cc(c(c1)CCC)c1nnc(nn1)c1cc(c(C(=O)[O])cc1)CCC)NC)O[C](O2)[C]([C])/C=C\[C])c1c(cc(c(c1)C[CH]C)/[C]=N/N=[C]/[C]=[CH])[NH])c1c(cc(c(c1)C[CH]C)C(=[N])[N]/N=[C]/[C]=[CH])[NH].O=C([O])[C]([C])C=[CH].O=C([O])[C]([C])C=[CH].[O].[N][N].[N][N].[N][N].[N].[CH].[H].[CH3].[CH3].[H].[CH3].[CH3].[CH]CC.[H].[CH]C[CH2].[H].[H].[CH2][CH]C.[H].[CH]CC.[H].[H].[H].[H]
