MOFname,CO2_working_capacity [mL/g]
mof_unit_2,101.22477417834172
mof_unit_3,118.98701074687752
mof_unit_4,187.62600449626183
mof_unit_6,55.7869591021412
mof_unit_7,111.69046224719489
mof_unit_8,58.98977428711081
mof_unit_9,135.58710841724886
mof_unit_10,59.73905673864041
mof_unit_11,161.06749898914796
mof_unit_13,79.91916950624072
mof_unit_15,62.32762208837282
mof_unit_16,54.93615457357025
mof_unit_17,98.10944956383052
mof_unit_18,324.0160452431515
mof_unit_19,60.05088633787799
mof_unit_21,104.97861488065128
mof_unit_22,230.6995932515091
mof_unit_23,252.38041691729305
mof_unit_24,262.6415751431312
mof_unit_25,136.52804474104678
mof_unit_26,346.0309838421578
mof_unit_27,100.479453563965
mof_unit_28,75.63295693651922
mof_unit_29,69.8726107928477
mof_unit_30,66.1344523626015
mof_unit_31,84.03997537483141
mof_unit_32,77.21637118526823
mof_unit_33,264.7743641437397
mof_unit_34,62.92916102941136
mof_unit_35,80.0936554175134
mof_unit_36,93.33312472299394
mof_unit_37,61.4740112584853
mof_unit_39,70.2720960390917
mof_unit_40,64.11209957262815
mof_unit_41,38.4154587228036
mof_unit_42,328.1030104193952
mof_unit_43,295.4252823531823
mof_unit_44,144.6753977693003
mof_unit_45,125.18976203928209
mof_unit_46,165.34578788456378
mof_unit_47,416.1591331313632
mof_unit_48,45.111623817283935
mof_unit_49,228.8434725454067
mof_unit_53,61.01674922042914
mof_unit_55,113.7096785827556
mof_unit_56,207.48735444960704
mof_unit_57,84.7435316225554
mof_unit_58,48.52210529968124
mof_unit_59,84.10617107059333
mof_unit_60,55.24484771839518
mof_unit_62,279.07048843319046
mof_unit_65,75.51327643919404
mof_unit_66,97.02968386313542
mof_unit_67,128.5190258600463
mof_unit_68,58.63948185218114
mof_unit_69,254.7373798701327
mof_unit_70,86.33668538763845
mof_unit_71,115.04828431076912
mof_unit_72,101.51960089313177
mof_unit_74,81.01478255554714
mof_unit_76,169.8147401929597
mof_unit_77,56.30942637667108
mof_unit_78,50.22734604087989
mof_unit_81,155.12490833644614
mof_unit_82,78.30703193813362
mof_unit_84,92.9843179769966
mof_unit_87,183.15672203476976
mof_unit_88,163.6616769415136
mof_unit_89,55.154880999716255
mof_unit_90,78.0438999205663
mof_unit_93,137.3592051604016
mof_unit_94,148.2958566207978
mof_unit_95,68.95907717602356
mof_unit_96,165.26110361542194
mof_unit_97,102.85573047292476
mof_unit_98,124.83600299684367
mof_unit_99,199.8263169318637
mof_unit_100,178.92481964935178
mof_unit_102,42.63382483128281
mof_unit_104,175.2680439572866
mof_unit_105,96.66816622293942
mof_unit_106,142.2885559612663
mof_unit_107,52.3352084827352
mof_unit_108,196.7955115099463
mof_unit_110,122.68703649452772
mof_unit_112,84.43285755915404
mof_unit_113,66.7064426015418
mof_unit_114,93.0965700296602
mof_unit_115,255.8717859082273
mof_unit_116,81.82382271746529
mof_unit_117,64.45925555314516
mof_unit_118,74.28543707491181
mof_unit_119,131.1681743029075
mof_unit_120,108.40477863511184
mof_unit_122,85.09200821545667
mof_unit_123,70.29074968901965
mof_unit_124,68.8616820126831
mof_unit_125,96.19406637698368
mof_unit_126,57.40388389014125
mof_unit_128,72.57078697047518
mof_unit_129,133.75640949954382
mof_unit_130,101.65925565276912
mof_unit_131,118.1637740018284
mof_unit_132,72.37962832785098
mof_unit_133,46.93737043854794
mof_unit_134,140.31060876271434
mof_unit_136,76.3579731354877
mof_unit_137,78.61803615463106
mof_unit_138,137.247118184286
mof_unit_140,186.7567113943109
mof_unit_141,82.99388528993539
mof_unit_142,284.06834600148966
mof_unit_143,50.07035824369886
mof_unit_144,97.19822701867884
mof_unit_146,199.37400719024865
mof_unit_147,93.83512250556755
mof_unit_148,120.9644627157854
mof_unit_149,85.0497486191598
mof_unit_150,100.20641695351556
mof_unit_151,49.05018517684431
mof_unit_154,57.65925730995098
mof_unit_155,141.57377450827602
mof_unit_156,105.70643738093632
mof_unit_157,176.16622545514358
mof_unit_158,109.0294282928752
mof_unit_159,99.65258513485904
mof_unit_160,85.22159330566394
mof_unit_161,60.48866934326605
mof_unit_162,80.98292278177642
mof_unit_163,65.71680869607364
mof_unit_164,64.18489833031146
mof_unit_165,173.33301666122364
mof_unit_166,160.4166021602471
mof_unit_167,55.78613371940103
mof_unit_168,62.87666668713632
mof_unit_169,198.40649354221716
mof_unit_170,61.77907271925346
mof_unit_171,88.70619415812881
mof_unit_172,72.54998732542283
mof_unit_173,85.67406812382707
mof_unit_174,83.65963900815942
mof_unit_175,152.42838292429894
mof_unit_176,48.57839640256108
mof_unit_177,91.46181697447244
mof_unit_178,92.44732396623968
mof_unit_179,64.39041863261465
mof_unit_180,57.405534655621615
mof_unit_181,189.5245498752091
mof_unit_182,83.92392656156302
mof_unit_183,68.55199840856994
mof_unit_184,338.4942489650846
mof_unit_186,176.7705706974987
mof_unit_188,107.8601911031453
mof_unit_189,74.82177077947662
mof_unit_190,216.30079134918068
mof_unit_191,73.72467204123787
mof_unit_192,70.93388792016293
mof_unit_193,152.54839357472022
mof_unit_194,85.4366880477532
mof_unit_195,77.03115529837329
mof_unit_196,180.08217132762314
mof_unit_197,88.91435568520062
mof_unit_198,59.18621537927213
mof_unit_199,123.48088961402668
mof_unit_200,182.6080075891024
mof_unit_201,256.2441986005937
mof_unit_202,91.8150807872667
mof_unit_203,121.59819158369072
mof_unit_205,56.62340197103313
mof_unit_207,301.7889832799208
mof_unit_211,77.63252916286378
mof_unit_212,104.63426520145084
mof_unit_213,441.1198627300489
mof_unit_214,64.96240887155497
mof_unit_215,242.73846082313312
mof_unit_216,166.84666385929543
mof_unit_217,57.08347031040589
mof_unit_218,85.78499956410644
mof_unit_219,62.12556839357835
mof_unit_220,126.083156317246
mof_unit_221,79.16196338040545
mof_unit_222,63.42505097970766
mof_unit_225,171.03036389268738
mof_unit_226,213.67359808720812
